encoding,code,code_clean,description,source,observations,enfermedad_cd,enfermedad_st
icd-10-mc-es,I22.9,I229,Infarto agudo de miocardio subsiguiente con elevacion de ST (IAMCEST) de localizacion no especi_cada,,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I24.0,I240,Trombosis coronaria aguda que no produce infarto de miocardio,,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I24.1,I241,Sindrome de Dressler,,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I24.8,I248,Otras formas de enfermedad isquemica aguda cardiaca,,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I24.9,I249,Enfermedad isquemica aguda cardiaca no especificada,,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I25.0,I250,"Enfermedad cardiovascular aterosclerotica, asi descrita",,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I25.1,I251,Enfermedad cardiaca aterosclerotica de arteria coronaria nativa,,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I25.2,I252,Infarto de miocardio antiguo,,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I25.3,I253,Aneurisma de corazon,,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I25.4,I254,Aneurisma y diseccion de arteria coronaria,,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I25.5,I255,Miocardiopatia isquemica,,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I25.6,I256,Isquemia silente miocardica,,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I25.7,I257,"Aterosclerosis de injerto(s) de derivacion de arteria coronaria y de arteria coronaria de corazon trasplantado, con angina de pecho",,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I25.8,I258,Otras formas de enfermedad isquemica cronica cardiaca,,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I25.9,I259,"Enfermedad isquemica cronica cardiaca, no especificada",,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,T82.2,T822,Complicacion mecanica de injerto de derivacion arterial coronaria e injerto biologico de valvula cardiaca,,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,Z95.1,Z951,Presencia de injerto derivacion aortocoronaria,,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,Z95.5,Z955,"Presencia de angioplastia, injertos y protesis coronarios",,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I11.0,I110,Enfermedad cardiaca hipertensiva con insuficiencia cardiaca,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-10-mc-es,I13.0,I130,Enfermedad cardiaca y renal cronica hipertensiva con insuficiencia,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-10-mc-es,I13.2,I132,Enfermedad cardiaca y renal cronica hipertensiva con insuficiencia,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-10-mc-es,I50.0,I500,Insuficiencia cardiaca congestiva,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-10-mc-es,I50.1,I501,Insuficiencia ventricular izquierda,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-10-mc-es,I50.2,I502,Insuficiencia cardiaca sistolica (congestiva),,,2,Insuficiencia cardiaca congestiva (ICC)
icd-10-mc-es,I50.3,I503,Insuficiencia cardiaca diastolica (congestiva),,,2,Insuficiencia cardiaca congestiva (ICC)
icd-10-mc-es,I50.4,I504,Insuficiencia cardiaca combinada sistolica y diastolica (congestiva),,,2,Insuficiencia cardiaca congestiva (ICC)
icd-10-mc-es,I50.9,I509,"Insuficiencia cardiaca, no especificada",,,2,Insuficiencia cardiaca congestiva (ICC)
icd-10-mc-es,I48.0,I480,Fibrilación paroxística auricular,,,3,Fibrilacion auricular (FA)	
icd-10-mc-es,I48.11,I4811,Fibrilación auricular persistente de larga duración 2022,,,3,Fibrilacion auricular (FA)	
icd-10-mc-es,I48.19,I4819,Otro tipo de fibrilación auricular persistente 2022,,,3,Fibrilacion auricular (FA)	
icd-10-mc-es,I48.20,I4820,"Fibrilación auricular crónica, no especificada 2022",,,3,Fibrilacion auricular (FA)	
icd-10-mc-es,I48.21,I4821,Fibrilación auricular permanente 2022,,,3,Fibrilacion auricular (FA)	
icd-10-mc-es,I48.3,I483,Flutter auricular típico I,,,3,Fibrilacion auricular (FA)	
icd-10-mc-es,I48.4,I484,Flutter auricular atípico II,,,3,Fibrilacion auricular (FA)	
icd-10-mc-es,I48.91,I4891,Fibrilación auricular no especificada,,,3,Fibrilacion auricular (FA)	
icd-10-mc-es,I48.92,I4892,Flutter auricular no especificado,,,3,Fibrilacion auricular (FA)	
