año_cd,ccaa_cd,zbs_residencia_cd,sexo_cd,grupo_edad_cd,nivel_copago_cd,poblacion_nm
2014,ES70,XIFrBfjPoOSKPLSdoXiz,2,12,QcWlUCWXVXWUgSVomZzk,9580
2013,ES52,SHicZHtHdGRqpsgEGEHv,1,17,mkAykDMCpOLVUGPqKMFq,8182
2021,ES63,zcxEbQdwXdnHUTwbCOkS,0,14,lgXxiSukPrgtoqcCJYUC,4790
2020,ES63,pRImGCiJcPfDTfclbvJr,2,9,xQUGRAajACQNpYJnbeSt,2024
2016,ES24,rQhyssKOgynayAwXYCMm,1,12,MojwPtyPjNnezGqdKGOj,7023
2014,ES30,YoqAEAideSQctOszLnkO,9,13,jixLANICyAZtMfcKLFJr,889
2021,ES30,OCRzCAgJvYXeIdOCJrNV,1,17,fEstJmuUsdlNmBPCxDXO,1104
2020,ES63,koSnihAdMzwminvAsAnB,2,5,FPDSXTFTnJIeRuozVThb,9052
2014,ES70,scPSBebZPJkthRxZzvoN,9,4,VoRWnRbLDcTqDxHopmXF,4688
2022,ES51,GPghABurkbQHeTwvnEjp,0,18,ZUucZQpYrmdTHvXDJiKp,8003
2014,ES41,SBVOFfDyqpOOpOhjcHQb,9,15,opEAJtQSWWicnluOzrrF,6710
2021,ES63,WrjsQfSDXNSxpEFElFag,1,16,aITEYrCrKdKFlaXhZNbu,4595
2022,ES41,AwaEXkHrHSSHvxNdHGfK,1,4,uLzOWdSDoOJvBzyvvQoN,4585
2013,ES63,nURxLBHHJTXZAbtcyAac,1,18,QAqGXJywdzBkGlVEdYMs,9386
2017,ES12,NtkWqhdeloZioaURgJzS,2,10,ZbhpGCeYkdBhisVdMfLl,2895
2021,ES13,PXyrDHkqHhKyBpuhDWoE,2,3,RcamKCqzRhZMeymHqUVV,1555
2014,ES24,vILvEorJmrkkDdWSSDQd,0,18,DFkCGbWNvENFPWxkaDJF,9736
2017,ES11,XmaVqXUSPDfJpXthPqgJ,2,12,roRVemqdtlirDrozWIBP,4885
2020,ES51,tqtuWcUYBYUfKhBAixAp,2,13,bkLkUhLEfOjxSDxrlfGJ,87
2018,ES11,aZtYfBYDtcxaYkuveXMP,2,15,CqRUmMDRqftRBsOnpXNE,9190
2017,ES70,TqDZBCvOhtriChKUDZfH,1,6,JwrxmSHbKAcUOGPSctSO,743
2016,ES24,yOCxqOPEXRqOeHTwoHnT,9,7,wOSzvaVziRDOYXwLoKCO,2250
2016,ES62,TNRxBVQrpUhOkJcNtXEZ,2,4,KZogBbtCbQDAphVyYxMw,9109
2020,ES51,GKOqxmAasVLWRWCuekJQ,9,2,hChCLhPBfftsvNfwoarq,3308
2021,ES12,SXHKcwKzmehRtMELYtXf,1,1,ZYKFwBdclPXbeyNDauag,1823
2013,ES41,KJqHGEXHcfjlsCOdCVAJ,1,8,AHogaYpLidlcblmGhNdV,1173
2021,ES42,QcBUEtMObnOcEVOCEyaE,0,8,oFRofzEBRCtcaRwoEVVd,5487
2014,ES63,fNVTUoHHKbblqBvhYhtw,1,18,onPKyMJuFwzEelUmfnwo,248
2013,ES70,mvCMTgknHLNcDPunZnpn,0,14,YkRKNnZwOFoynIhDAIpm,4002
2018,ES22,GaBReIxWOTXEiruFkVTU,9,1,YpwcowdZjNWmIYGWruyW,2117
2015,ES70,GUIvkScVPEzJtmtnxKew,9,7,WpOwNmijLcWmPitvOkPg,1065
2020,ES12,wpDyMWVvsAvuoHiCOnld,9,14,ZBjhoeAVwQCRszTvRLRO,5186
2019,ES61,eUJbYwaRcSxVPDZUDcIh,1,14,qOrHAsluixeFYVHDfLJu,3806
2015,ES11,fpORtMVJYoMxtwwaPybi,9,14,yihEIgqKiCGkOmjoCYEk,6616
2013,ES70,PiPUqeBODSMxdszciUhO,0,17,fXCcyzTYeUVbuSaugOZG,8919
2014,ES23,PWTjduUxyDxHTfMSKXsW,2,7,ptTVnsNdyFWdtoBJuiTs,8004
2022,ES24,GTjhdzwfVEllqjqIcnlW,1,3,dhyDjYgpDfIhHxjuzKBY,4631
2020,ES63,NYDtNHCRlEQxFbPEsYEJ,0,17,aYDqHkpuhCAsAdrKFkVu,4524
2015,ES52,AFKOEEyTXPvYggqsQvXR,1,7,VDKeHTnvhhxzSdtfjzic,9907
2014,ES21,apBvGHLkYcKBGYhSaPzz,9,4,jRGdrgFXosGoFFAxpnJa,3273
2021,ES21,dEBILxpzybHsQXetNCYW,9,18,PLwmEebziDvmlBwDSHic,3197
2016,ES43,CrsAEQAEytxVIfcWAErj,1,8,tfZYIYwPTgHRQDSFMpBL,5740
2015,ES51,yEZimRWzPSpFAmoEBXCm,1,10,ZCOmlXDoiTAzsaaPvnCq,4521
2013,ES62,FCWlZGhDFJtBfoCsqMnV,0,3,PgLcMzwPWDonCHuxMUKW,1567
2018,ES63,pBvgSUpPECPFAhkkkqbD,1,4,qUwYmZQykSDprEZxEdkQ,24
2014,ES13,WnFIoUZtzflyRhbQDNwe,2,16,CiVdQycBjdCnkqIJTJBu,281
2021,ES13,ofMOTlOgSlDCZsIxcYwi,1,17,CEfuSlZQteYcVVQaKlkM,1712
2015,ES64,JOpbbqCHiaxJnVdwoivd,9,18,UNPVkMoBmLFGWAzbztyR,8114
2017,ES23,LhoMZyhUWXdpNVgEupwm,0,18,JjTwKhiwEsdWIoqaEEMa,4734
2020,ES22,dOSVSQJTCNHBnhBpEAVd,2,13,IjwrIoATyRWOjAeAGKdP,1017
2013,ES70,XFtDEhHGdiSZPOsyLtsB,9,13,GMeHmWzNpRAbXQTzzJjG,9912
2019,ES12,ZHfPYEjNeYnpLIJkczGh,2,17,lhHaaIJyuDGjGKcbwEUl,8974
2017,ES43,KOpWHWzQbvBENifqBwXS,2,14,YuysiklSttgwTxzCrxpU,3085
2013,ES43,FHCQOwDZvhWomwOmGaxB,0,9,lOaPUoWseUVvBbHfDdSZ,3330
2015,ES53,ckxGHNPwWmtmXqJqPOJK,1,10,EcSRPcuOrqaRgNZyBMZT,3572
2017,ES13,GxwdnxPSboYCeDtchNvr,9,5,HXKLmChrVnnPLoFShiXH,5924
2015,ES24,FvgBzisvnBYfGRstXNpz,2,9,TkNOuuuwDsLvKdTaHfKf,8160
2017,ES64,ilpUDMlglTEGxFzMpGQQ,1,11,GXpCeaNfcjZkEjhurCmg,1385
2015,ES51,fShPLBPZlXTMrAGgIDLQ,1,14,iJjSJfKLViwGAAwJiwSR,4616
2020,ES11,BBaKDcmqysydZJITuBhO,0,13,lWuRIVXiSkAvrRXeVeYr,3414
2013,ES21,UYusOZyzZZMpXqEliYKX,0,9,zxWVMJNZdqWbEdwZZrkN,5068
2022,ES64,GFSjHiHTCZeYrpidOQal,9,12,SLlEMSfaIFWoUWOrBgda,7007
2019,ES30,CFAkeESBIeQLOeCbvMOv,1,13,xeWHCQGGkZXseDVJGhHf,8110
2018,ES22,uuEvManjpFETJmnBkifQ,1,15,hzsFdiDZEgcNdQfYmrqX,8648
2020,ES24,mOXYXhzqdENsGTqXCDNx,9,5,vfMnYuLXJCvDOzMDDivI,8162
2018,ES51,JJIwoXxDOJDzbusgsnqz,9,16,wBZeqZBGesGnxOlzMwjQ,7788
2022,ES43,NWlTMtqiddFPvWGZHmiT,0,1,dnjeIRuGUrzGuMYOHVGk,6466
2020,ES53,DnnaKSbJAHKYsOyMaqXQ,9,8,xPGvgubGGFTRsfPKWIxl,6906
2020,ES41,ghzDpzTgLLCnzqVbRwFH,0,2,nfeRPRdhmjNcpvadKEpf,8307
2013,ES61,jvkqgyGWKWYJTIRckSPY,9,2,xFzzhxrywcAuNuYFCRjL,7572
2020,ES64,gOXCtURXEApeeEaaKHXe,1,18,tuDtDOFqFnNraPLrDSQz,3713
2022,ES43,QUevWtiafGgMDhiknaFE,1,12,pXbtVZRbaIIrMCqDkzcD,3997
2015,ES22,BtRmrhSSiigBiEbjmPrT,0,12,eMrTYEIgTPUGltuUfVEq,2110
2020,ES41,MUqXrqVhSVFTWFtGCjMw,1,6,eDwqJaGCGEfrmSztrubW,3571
2021,ES51,gFVtCpLySvnylWOdbfXh,2,2,hJiwqGQHktfhslDECIxw,9042
2020,ES21,fhLHUuiPEenWpIXsCMSc,1,15,YxauWEZdbJrBttvscIOz,9467
2017,ES24,OXVVeTrBNhOjAFBnxXhe,0,1,tSgmaJdTuxRLOJyHRZBn,8368
2017,ES70,drozzjmyqPWbuPLFxKoF,0,17,rajaEeSomfSmIRaoCxNG,524
2014,ES24,KfrLSyJsjJkrWjipDqeu,9,5,HswokRRqKQKEfsDanPed,2250
2015,ES24,lPEqIVVUdbRvvxQYTFEZ,0,11,WfZcGiaKVKFPVAPNLzjO,9928
2019,ES11,ymvNajVRgKjLPwpKgiUN,0,8,HxHUlGlPWGMPtgLrJEzb,4487
2019,ES22,UfOXJXXQzvikWDlAxfje,9,3,WMDwQDKXFlwRFNucqRhQ,3647
2014,ES22,hhNYQkAoKIqhTfGkIxuh,1,1,nhBfYebvwqyMGDAgesfY,9539
2021,ES53,DvyaYhLvYEerfavbYldL,0,10,PZYsREbfPjIonYfkseaJ,940
2014,ES21,XVsjKBVTsFngEetfCAPN,1,2,WzSBOlOwQORDIvhajLyD,9781
2020,ES43,HhsssSkhYcbtjOHTdRSS,2,8,iZFmIuwxCDJQZJcipmXz,226
2019,ES23,FlbXQdSLyYnWnoamVXZO,0,8,HDDjPaFkrpKjBgmIEyPP,6810
2017,ES52,GBKpPPEqZTetcLTvnUKB,2,10,VPlKLLavpVJCsQXNbpru,173
2016,ES64,kCNvVUdkqjZtOzSPanXu,1,17,rGAkhHLXnWPeQryuXYya,7431
2018,ES52,dPoGijeIZAROSnHKVRwX,2,4,XpmYIwPVDQiDITQawPka,1569
2014,ES12,EuLJatzJmnZylCCGaKfd,9,6,nkEFdcptUMQdWzoVFsYj,6526
2015,ES62,nrsJejEjmStqznriFmBl,0,2,BzZZZrZPUmBRlIcEnbMm,5707
2022,ES30,mwbLNzgBPsqPFfGxlEiW,2,1,YNpqikQMvtZdiNHuNEWn,4693
2017,ES22,BKGyfYmwDiVOFngSmqYg,2,11,BBmaMkyynmRMOzUZSGwy,832
2015,ES42,DbeWmjMMMhGaeLsAfDeY,2,11,rNCGXPHjYAizNYEERJUE,9531
2018,ES51,kgTIlwGTXMRhEZxeZZWD,9,5,WyxmBpVBNtmjwVvrtyLb,4581
2020,ES43,raWDbGUfSwhtQwxvckzr,0,10,arHOwubFOXGArqAmOUZR,6044
2014,ES63,vvZMQGlRerbHZJXqFlXY,1,4,KCaobTEFisUdcElTOaao,2318
2014,ES63,teypxAnKqVqQNlScapHA,1,12,uixearYPWUlzFjPiXHjW,6147
2019,ES62,TwygFvQzPulpQxDReiab,1,15,PVnUqeXUtfPIFDCmJZYi,5597
2016,ES64,uJNoExzTKDNTHbdaHOxL,0,7,FHvdpDSQplezVQGCshAG,9950
2013,ES64,HprmMCLQJFmwGoxgHYOr,2,11,AysOspZhPcVEHSclwyFa,4605
2017,ES53,IkIoNnqQTXFZmMpTciMH,1,2,HFKpVWvCiwkbxzqPYtNT,4804
2013,ES12,uDXyzHnBQKAWrYUpAkry,2,11,wqpCTxdjdgdVWxHMDnHp,424
2016,ES41,VlLDbmsykeZqnMmSOYap,9,11,WFHOySqKLlWaDZGNNHym,8892
2021,ES52,FwTndRdscRakmtXpMUVA,2,14,rYlHQPwujjgDAVpgJVxv,9906
2014,ES52,clFIyMlSXaEWhtSjVhJv,0,1,sdBAvFAedpYSmmZrYVAg,6281
2018,ES51,lNXaOaxEeuoJDoLOdWva,2,4,ZpmFXvEMPBMBtTFPppvJ,4922
2017,ES24,oQzDRQYAZnZYFpHKnKCv,9,6,xZxatcboHAKWykGLvwMQ,146
2020,ES64,QnqxqFlebJLEeSDUKoYp,2,9,oDErmkNJfYhdpjAPQIgo,6125
2014,ES42,uQEZtoSqGcHQMDqHOIiv,0,12,MKxmcnDeMYOHcxxOLFhW,6194
2022,ES63,DwqvlKtKGpXsOBnoSmyf,2,15,LuHeXPgWLDwwpSsKfEvc,1956
2017,ES53,keAbdRMZIPBHOICNvwIH,0,5,xiCiatDIPaDssbgntqGQ,8422
2014,ES30,hivfHLSfqnNuSKNhlMvn,1,8,YnbhQXWUloDFoYzQclUA,7677
2019,ES51,ZWSXSMlzEGxBhSIXjfiT,0,11,FFiyVOyGfndoezimyCjA,9472
2016,ES13,iUMhmigqyPlPzIBMpMgq,9,18,rKtEXkTlVixbJRyFWwdR,7116
2014,ES70,oFSJhecTWEylAdkWvXfC,9,7,ZuFucnUyGULYCGzuCMho,6842
2019,ES13,oQivsYDgQfYTsSltAhMK,9,12,aRVNHgolTpujXZDrwGyC,6439
2016,ES23,expfTWiXJDpSwXtfwowa,0,11,PuNVntbZRsHPoSzeMMZf,7275
2020,ES51,QRJNeXqoOFykzVfcrDUG,9,12,NdqIBSwPTZzPhmMBeCHC,6340
2021,ES62,PmnitmgIhBXHWFqOozAJ,1,11,xRazjtAPRzGzYVboHBmj,8044
2016,ES23,EtxueRykuwmXNfYZMQMv,9,11,wMGmRqSczXgOGhcLqiDV,184
2018,ES42,zVBGegUZMgCtHBJhYswU,1,14,xHjOvXtMSxBibJbeuDmm,629
2016,ES23,BRgYeQxPzPFoNlLkxzxh,2,2,PWcumnIPaPniRzQIvuBv,4682
2021,ES24,rGdgkGXlAqKqNRlrTXDz,9,4,NmfFmXOoQZExdyhJjlin,5788
2019,ES61,XOiDvmVOZCKoyNrkoWya,9,7,WBvZtAJzBoktIcWqSohn,2716
2015,ES61,xxSYhPOXjVRQjakpvIgo,0,18,VdDZHLxPXqxlYneNOXTl,9750
2022,ES51,OOoojLKKtiyHHBrEupMA,9,3,rBBCASFeTnYycMjxxImO,3121
2016,ES13,DjrVftVfInLLbadfqaYu,9,12,GCMwyEEpBGpLyZqGHeHe,6688
2017,ES23,SrTajmxYtDPnCTOSCUei,2,2,LECsOmcekLdcesSWETvE,4902
2013,ES43,VQRIWvzQxcXokqvEePLE,9,2,cCosGnCinYElFFxZzGNT,3263
2018,ES53,OGEnjBrJKSgmDAedQaas,1,15,OnPNIIwVZNqVxnEunGUs,6887
2021,ES53,wuMQqnsUxDttywlFbEdT,1,1,phgUirgYzBeIGeMsEwYp,4130
2015,ES30,NgyYjGNSeFDOePFuchUH,1,9,lkfXldTVuFNyOdtgsraT,6722
2020,ES12,FDTRlULxhbeSNbjnjVPZ,9,1,evSsryuPedyDtUuUBqkn,3534
2021,ES42,gqisKhJKRYTHySYqUsSJ,9,16,MFlmSZOXegCUkqoTRocT,8518
2020,ES13,vsRZHJmyXWImEPMTDfxo,1,2,JLAaIqOahcaIQRzEjeXr,6179
2018,ES42,QUWhJBIYbqLmzOilrTbo,0,18,iTQFnzXJqOawswuNqUgd,5665
2015,ES53,RRVSJlfKAzayBXewyLya,9,9,alVOzvcOejNqIxVGNbtp,4891
2015,ES62,qmHfuYyguOFdNfIPyRsa,2,12,WBebSNALHznwZdMkJoSF,7711
2013,ES23,KnpOaDoHlTZcmaYvqino,0,10,YoZkfMGQOOtiOyrlmosD,5733
2022,ES52,fqzlDtiMhCppRLggWfeu,9,7,fgVvUoGQgkomnKuYNYlc,3953
2015,ES61,mMDlGfnOvCtEucKwvVBg,0,5,loGVeWPjoyOlBvkiYTbU,5902
2015,ES24,vOVWRBlXbjGWArNoPBPq,0,2,zdxCpHRyxyPWqTJYKynL,8998
2021,ES53,pKucPYAgAbFgFVYIIXqR,2,6,wpeZbOoFLqZHdAfESkaR,6317
2014,ES41,rcgDwGwmkizARhoFhZRx,2,1,PNiRmLXDpjGzWkPrZGud,1154
2018,ES51,hdcigfcugozOyMFdgARW,0,10,BaKSqwTztUzDHjvnLjeW,8681
2015,ES53,PJsEnYyhmGIekCqznDAe,0,3,hvlnBiOIYCvWlEDacpBD,9045
2013,ES11,IlvqPopguwScxEsuiEcn,1,15,bXAWpSsfesxAlNTCVwCd,7771
2013,ES23,WjoTGNOOhVbCWLtmaztR,0,12,UavyelOmelkvceYizTRQ,1065
2014,ES23,pbBJvquzrTwnJqlGsvOU,1,4,kDweYjavCaVbbqsZZIBU,4650
2015,ES13,qZuACxMuINEhMGQtkscM,0,14,aahRqhQXyfmiaHWVVqpS,1391
2016,ES12,mvUCUPWcuszIPQbFxLGH,2,11,qZHRmlHkLrdeyuyrYQZF,8051
2013,ES42,RccyzIKLoQvMzZlaIxEN,1,18,IfQOGvhcqFWExJCCPeYg,4564
2019,ES41,KWyCYMtIwlHgdebstOjh,1,5,shOwHowzBOTOJHLVJSOa,9663
2019,ES51,BGjxornaeEgJXSIXRlmt,2,18,omEVmfOrtstUORHNthJJ,4181
2018,ES23,yGFsEkOhvMTOmYLCpsCD,2,11,ORxOgTGxXGhLsDxzkmfT,6271
2016,ES30,sVHFeYSJOniJlDUNqyXz,0,1,ntrrfxuleRYYqhQcoEdJ,8962
2019,ES42,whmmFfYQYMmeBoDzDoar,2,1,mHquiuJqNjfltwvIiwzP,1433
2017,ES63,oIThpLTgNrXWxhBnRMyd,9,12,vGNqVKVGJvHEPtmbfmdg,1751
2021,ES64,CmoyxybaibfzppkCzilX,9,9,WWOGJkcjRLdkHcZRLTUr,9354
2017,ES62,fXOHVxiDGEiwsCVQKDtf,1,8,HilAwxNsaJyzEieUDQhp,9757
2019,ES21,gXopLFtUAOWrdEhvfRhD,9,2,XocmxuuWgBBRQZogLVbh,9555
2018,ES51,sAokNZiyWzmovJdetPhV,0,11,RzwsOPlcEYpFSMRrDNQh,2295
2022,ES52,ZWseAZCsYzFOBjidivJY,2,9,DRtebmQdmZSwqgZEOovJ,9192
2015,ES24,NVOygbGrFqhLFQWhOYTY,9,4,JdNGQJKFlmBHKBHPdfAd,7874
2021,ES61,yFxFmZCZwiDMPJRsQvQw,9,3,fYjWQWVqZMPseELEtZtf,3491
2014,ES53,EDwfVWMbFIVceqnlyEiW,1,17,UlQftFrZAXjEEyPYchtv,5615
2017,ES64,YmRoOVYRASQEBhkgGnnl,2,17,vghtqxgdBRmvPEtqsnOA,8114
2017,ES23,eUbWvGLfGecnnDivobJL,0,9,snwSIGitEdiyKsIHTsxV,4099
2019,ES11,mYUMiOoDzZDwTZXQFDqu,9,12,CWWCzzHhbqMcjKErEuyR,774
2019,ES30,HaxxllXYbjBnyzSyQBlo,2,13,bOzRIylEUiwrYIzpTUhz,7702
2022,ES22,YLcSmBoBJnUnWucpTiWg,9,10,GLbfpZJzjUtdBBpMdirW,9034
2017,ES62,YChbkEmQTsPvomznFdWd,1,13,PQBtYEWmxpnhESXQGBPe,8016
2021,ES52,eokPDBJMNNbLYRtmltRY,0,7,QonuVylQzuPEvAAYtKds,3330
2014,ES13,dOqdfAaVWQKIWIqFIdbh,2,3,tDGCyAeFxWCxyvOdkIDD,2850
2019,ES13,bcMQnFaxjnLbGqRYhtsb,2,2,cCwbSXkbXHiEvCWxZUZI,6277
2017,ES61,efQQeeWnIaPNDiDDctwN,9,9,eUQSrsvJrNqUJDTwwmtu,8184
2016,ES52,vGuahSeDyDwMLZnxqeSK,2,9,gMbtbjeFZytjnsYwRjpB,837
2017,ES41,zcKARLsJVjFIUGUHTjmq,1,10,HTkKhmcUABCWOoZeqhOR,1838
2022,ES51,anPJxwcPIPPGfKcJufXa,2,16,GhjsDARbTebaehbxZNaC,4547
2019,ES13,NkYIZIdvPHYPsuOisDhj,9,5,LbmcFfIgBQypsQAAKErz,5617
2013,ES11,qylfLDiwJxfVpNHhDKXR,0,4,KlirGwOsuBALyGdMptJg,9170
2018,ES42,UOQdsdShQdrQHrslgsmW,2,6,SqaTeuqHahvvbubyEYJd,7111
2020,ES53,AXCuwoBXZlOxmpaZJzVC,9,9,dquwcEpEDFhEHJLDmnYT,1295
2016,ES63,tcXXMPJRECpRtOYNsybX,9,6,VFStEmfpMCXENgyIaEFF,3310
2020,ES22,VLiHkUlTsEGeJqRhBuXp,0,7,YIfixciYGnhRBegBZFag,1813
2015,ES30,yfHULoQoLIyleBUHfBpC,9,10,FuGkmBVPOnpEehrBnGnE,550
2019,ES62,MEwUGdMREMChozvuHXws,1,15,NrZuoaPkQAHbzEyLIREV,2527
2017,ES63,nGaxBXWaBfFKinksEuQS,9,10,wFeZyYfSdCkrLwcDWpUo,6536
2013,ES24,dfauIXYnhHfWmSNhhEjX,2,2,gVlxcsSYikYPiCivFMeu,3193
2014,ES64,qDEAkReXwbYJbGVLJdfw,9,7,WEwhmcvSXeuXJBknapFC,4871
2020,ES64,eZSsEcTZBwNKSIuffMFe,0,8,zGQcCOzdQOncdkvjRpue,4741
2019,ES52,GUxPjvSqwLjPhXqKyWfD,2,5,JXypyfAnmWFUsNqmwADX,8169
2017,ES22,IJFZCdygXHVFguAhnUeB,0,11,BWMBhaHmliAYpudawvsT,3630
2019,ES23,IbMyosMAZvdSHGFhKOqA,0,3,QZMZTMhKXLRhIHUehaQy,2243
2020,ES41,sVASBMfgVbbidJagPNbt,0,11,EzMPanwPKqMtnBFerXQA,3168
2015,ES24,oNYlbXAFojVFRbPDkupT,2,8,tSCgPFdbFSNoWlMMoNeQ,3414
2019,ES61,KsNvGJgYsEJceuTVsWHR,2,3,DgRTsoVaFZijbDfYHSmL,2370
2020,ES42,qxjxwokmeOQTgshgFQyM,2,8,zXsABLYxqJWIoxNwurhZ,5978
2015,ES13,GRGUPyejLWwRHaGUaXUG,1,16,CAJTmOsdktCXnHlaIZEH,65
2017,ES43,ElQTEbYvtpSciZPtGWUP,1,8,KOBCvbgbgYgDNijMeFYB,430
2022,ES51,ZYwmsuxuqkfnkfpQGJdN,0,4,uhnRVJtjGYRBIrQONWpo,7252
2018,ES43,zCSXuvCrrxZfiWxtbniv,0,14,eLvVGoKWjjlFzpoFMzVV,8230
2022,ES22,dzoGbJwqivhwxrnCAvhR,0,14,EqQWsBsAmCyhlExVmEsU,49
2018,ES21,aBrhrwKsDCBwFkpnEgtX,0,5,mSViTDgOzwcyOrTWrUxG,6959
2016,ES12,hDsFlTcEfNtLBXIOyGJD,1,8,MVnrTuLtyNEGskFpkdSX,2842
2015,ES30,nWOUXPJzVHceBeBoktoH,1,10,HJGDuEIOiZyNyYeIzPgT,6480
2021,ES70,gmnUxhkYYkCXNuByNnVo,9,7,gHHHYXEJhJfPeuQUxalV,3305
2022,ES51,BQZqiwEniHqqFjXMOfXy,1,18,fnvtqbBMoBVgxrATVklv,1647
2020,ES53,ptyXOKQkknwOxvPwwWGY,1,16,IYFDkolCRJDzuVCVpBIg,4598
2020,ES64,mTqcYHXPQoPdrTvNSikK,0,17,xQMUWCtNOYCSNIUvXNgC,7950
2013,ES12,gmzUbZVAhPFeGgohiYCN,0,10,TXEePvLRvjPruHhJpHPI,5545
2020,ES30,ANFKbFBAUdlqJFNKSpAT,0,4,LPNSKzLoVCCfWBTUuIfl,2474
2014,ES22,sYWExtJJDJyqCsnnAzZV,9,2,NpRwrvHdEUihuoAzZAZy,200
2013,ES13,qvkCtrKlmzXzgqxeENbl,9,1,VuyMLGpcNyeStpoHeJtv,9014
2018,ES43,uKSektXHntKosiolZQVn,2,18,rlXFuELVvwxwChrUxWgt,3962
2020,ES41,mELVRkDkXVvCouWufwXW,2,17,qHRczUlwWIuOxkkAlhID,189
2014,ES13,MsqEhfqKqvExUIHuCxCD,2,5,nRVXizUoXZeSNVklmThN,9454
2015,ES64,hScibRfpWYHkzRgDgIlk,2,1,QiDKhxZXvadrdyQzcUBr,7962
2022,ES23,ptQebfEFrWFloSHOQdHk,9,9,mRnlHeJwlykHacEmtZYQ,6833
2018,ES21,JpGMDUxYilFjBqcxsVKW,1,1,tWqDLcTIOUSLPEYtyqsb,4174
2018,ES22,nPeRjgoWsyihNzAPINhr,1,8,NLRANGdzbhQNPqUSHdXP,4169
2017,ES62,SeczgbCnPxMlFGHXupzC,9,10,CcwJqIlVGlqKmKBSPGyk,7776
2017,ES64,LunUnppQHWKrFwmbFBHo,0,10,NLGWRnhbdalrEaZBRoFc,6309
2022,ES41,nklAJnDynralswDoxvoA,1,1,YGSjIGaLZMjOzoqlLdTh,5464
2018,ES42,qDhqEEcWhJuUwKZvJNnI,2,16,YqgryAyMmxuWFfXzXfOB,936
2022,ES61,lRNjIYlDJIMlgXRYlGYZ,9,5,xJZzYoQfckwtmzlGIIAf,7933
2017,ES22,OIFsknxWvTEHwZPFKbPL,2,6,uHZFOhViIDrzyyVoxJuI,6917
2022,ES42,kgPssLmxwioMMYdxYjnV,2,17,cBDpkMZEzsSBwthQmVDE,4790
2016,ES61,vpHHefIhgxvdmKPvnXIJ,1,8,FvdnsvwnxfHmtHLAhzSf,8157
2021,ES23,HyhkzqyOVdrLFoDMiRmP,9,4,tCuElJfXyNqcfkIQpmEl,4159
2017,ES24,oxAYrmpGHPPTcEFatEHo,9,9,aEnsQmxhOxtLHqPBDUSR,6150
2014,ES53,TAMWDjfvGhFQVtXlbpZw,0,13,FJUfUPkUDcjGLYiSZYbp,3467
2021,ES61,yedcsbiKhsjixxQkFmAH,9,6,owZKTwApALpbxLeGRKFq,9328
2022,ES52,ixEbNZUKlwguFSPJzhug,2,15,gLYsJrvLidsSgdPsJZTa,641
2016,ES42,etMlGYqtjGJTeGtwaTNp,9,17,MLjpWhOupAxfslPymRxy,2902
2018,ES61,OIEEbyIdtIUDvkMnFuiO,9,14,vpakSmRuZfbwfcSOzKAN,7396
2021,ES64,HgXeJQuCtyXRkDvaHgMv,0,17,ylLSbpaofOWHYUYJSXIW,4804
